Sl,Year,Month,Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Station_Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Flood?,Month_Sin,Month_Cos,Station_Barisal,Station_Bhola,Station_Bogra,Station_Chandpur,Station_Chittagong (City-Ambagan),Station_Chittagong (IAP-Patenga),Station_Comilla,Station_Cox's Bazar,Station_Dhaka,Station_Dinajpur,Station_Faridpur,Station_Feni,Station_Hatiya,Station_Ishurdi,Station_Jessore,Station_Khepupara,Station_Khulna,Station_Kutubdia,Station_Madaripur,Station_Maijdee Court,Station_Mongla,Station_Mymensingh,Station_Patuakhali,Station_Rajshahi,Station_Rangamati,Station_Rangpur,Station_Sandwip,Station_Satkhira,Station_Sitakunda,Station_Srimangal,Station_Sylhet,Station_Tangail,Station_Teknaf
5,1949,6,34.4,25.7,512.0,80.0,1.631481481,5.6,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1949,7,33.4,25.8,575.0,85.0,1.57037037,5.4,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1949,8,33.5,25.7,349.0,86.0,1.32962963,5.6,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1,-0.8660254037844385,-0.5000000000000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1950,5,36.1,25.5,87.0,78.0,1.703703704,4.8,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1950,6,33.9,26.0,476.0,87.0,1.631481481,7.2,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1950,7,32.2,25.9,546.0,89.0,1.57037037,6.8,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1950,8,32.8,25.6,337.0,90.0,1.32962963,7.4,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1,-0.8660254037844385,-0.5000000000000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1950,10,33.3,24.5,339.0,85.0,0.490740741,5.8,7.0,41950,536809.8,510151.9,22.7,90.36,4,1,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1951,6,33.9,26.2,394.0,87.0,1.631481481,6.7,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1951,7,35.0,26.0,375.0,89.0,1.57037037,7.2,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1951,10,33.3,25.1,301.0,85.0,0.490740741,4.8,7.0,41950,536809.8,510151.9,22.7,90.36,4,1,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1952,6,32.9,25.7,406.0,87.0,1.631481481,6.2,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1952,7,31.2,25.6,414.0,88.0,1.57037037,6.5,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1952,8,31.4,25.7,349.0,88.0,1.32962963,6.4,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1,-0.8660254037844385,-0.5000000000000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1953,5,36.1,25.2,339.0,81.0,1.703703704,5.3,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1953,6,35.6,25.2,715.0,88.0,1.631481481,7.3,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1953,7,35.0,25.5,526.0,91.0,1.57037037,6.9,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1954,6,36.0,25.4,500.0,86.0,1.631481481,6.4,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1955,6,32.9,25.7,406.0,87.0,1.631481481,6.2,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1955,7,31.2,25.6,414.0,88.0,1.57037037,6.5,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1955,8,31.4,25.7,349.0,88.0,1.32962963,6.4,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1,-0.8660254037844385,-0.5000000000000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1956,5,34.4,26.2,343.0,83.0,1.703703704,5.6,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1956,6,32.2,25.2,784.0,87.0,1.631481481,6.3,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1956,7,33.8,25.8,319.0,86.0,1.57037037,5.7,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1956,8,33.3,26.0,497.0,87.0,1.32962963,5.6,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1,-0.8660254037844385,-0.5000000000000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1956,9,33.4,25.7,700.0,85.0,0.937037037,4.8,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1957,7,33.3,26.0,564.0,87.0,1.57037037,5.8,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1958,5,36.1,26.2,289.0,83.0,1.703703704,4.0,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1958,7,33.3,26.2,414.0,90.0,1.57037037,6.0,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1958,9,34.4,26.0,321.0,85.0,0.937037037,5.4,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1959,6,34.6,25.8,377.0,85.0,1.631481481,5.4,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1959,7,33.8,25.8,751.0,87.0,1.57037037,6.5,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,1959,8,32.7,25.8,621.0,87.0,1.32962963,6.1,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1,-0.8660254037844385,-0.5000000000000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1959,9,33.8,25.3,608.0,91.0,0.937037037,5.7,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,1959,10,32.3,24.3,475.0,87.0,0.490740741,4.4,7.0,41950,536809.8,510151.9,22.7,90.36,4,1,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1960,5,37.2,26.4,324.0,76.0,1.1,4.2,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,1960,6,34.4,26.5,433.0,84.0,0.6,5.0,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,1960,7,32.8,25.5,716.0,89.0,0.4,6.0,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,1960,8,33.6,26.6,823.0,88.0,0.4,6.2,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1,-0.8660254037844385,-0.5000000000000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1960,9,34.0,25.9,650.0,88.0,0.3,5.4,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
