Station_Names,Year,Month,Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,LATITUDE,LONGITUDE,ALT,Flood?,Season,Rainfall_Category,Temperature_Range,Humidity_Rainfall_Index
Dinajpur,1948,5,36.8,23.5,244.0,82.0,1.027777778,4.0,6.848,25.63,88.66,37,1,Pre-Monsoon,High,13.299999999999995,20008.0
Mymensingh,1948,5,34.3,23.6,537.0,81.0,1.692592593,6.3,6.122857143,24.75,90.41,19,1,Pre-Monsoon,Extreme,10.699999999999996,43497.0
Comilla,1948,6,34.3,25.4,619.0,88.0,2.501851852,5.7,4.927272727,23.48,91.19,10,1,Monsoon,Extreme,8.899999999999999,54472.0
Cox's Bazar,1948,6,33.2,25.1,827.0,89.0,3.238888889,5.6,4.033962264,21.46,91.98,4,1,Monsoon,Extreme,8.100000000000001,73603.0
Dinajpur,1948,6,35.3,25.4,285.0,86.0,1.024074074,5.7,5.228,25.63,88.66,37,1,Monsoon,High,9.9,24510.0
Faridpur,1948,6,33.9,25.3,402.0,82.0,1.833333333,7.0,5.0,23.61,89.84,9,1,Monsoon,High,8.599999999999998,32964.0
Bogra,1948,7,33.1,26.4,363.71875,86.1875,1.577777778,6.2,4.435849057,24.88,89.36,20,1,Monsoon,High,6.700000000000003,31348.009765625
Comilla,1948,7,33.9,25.5,1045.0,95.0,2.481481481,5.7,4.566666667,23.48,91.19,10,1,Monsoon,Extreme,8.399999999999999,99275.0
Cox's Bazar,1948,7,32.4,25.0,969.0,91.0,3.298148148,6.5,3.724528302,21.46,91.98,4,1,Monsoon,Extreme,7.399999999999999,88179.0
Dinajpur,1948,7,33.0,25.9,442.0,87.0,0.955555556,6.3,4.288,25.63,88.66,37,1,Monsoon,High,7.100000000000001,38454.0
Mymensingh,1948,7,34.7,25.8,513.0,84.0,1.544444444,7.5,3.691428571,24.75,90.41,19,1,Monsoon,Extreme,8.900000000000002,43092.0
Satkhira,1948,7,34.0,25.9,363.0,89.0,1.514814815,7.0,3.93,22.68,89.07,6,1,Monsoon,High,8.100000000000001,32307.0
Cox's Bazar,1948,8,32.2,24.9,958.0,90.0,2.898148148,6.2,4.483018868,21.46,91.98,4,1,Monsoon,Extreme,7.300000000000004,86220.0
Dinajpur,1948,8,34.4,26.0,362.0,85.0,0.885185185,5.3,5.208,25.63,88.66,37,1,Monsoon,High,8.399999999999999,30770.0
Faridpur,1948,8,31.5,26.0,410.0,84.0,1.640740741,6.8,4.95862069,23.61,89.84,9,1,Monsoon,High,5.5,34440.0
Jessore,1948,8,33.1,25.9,379.0,87.0,2.637037037,4.2,4.461702128,23.17,89.22,7,1,Monsoon,High,7.200000000000003,32973.0
Satkhira,1948,8,33.2,26.0,384.0,89.0,1.364814815,7.1,4.373333333,22.68,89.07,6,1,Monsoon,High,7.200000000000003,34176.0
Comilla,1948,9,33.9,24.9,388.0,91.0,1.537037037,5.4,5.548484848,23.48,91.19,10,1,Monsoon,High,9.0,35308.0
Dinajpur,1948,9,34.4,25.1,231.0,85.0,0.753703704,4.7,5.184,25.63,88.66,37,1,Monsoon,High,9.299999999999995,19635.0
Mymensingh,1948,9,34.3,25.5,432.0,87.0,1.114814815,6.7,4.231428571,24.75,90.41,19,1,Monsoon,High,8.799999999999997,37584.0
Dinajpur,1948,10,33.7,22.2,236.0,81.0,0.542592593,2.5,6.916,25.63,88.66,37,1,Post-Monsoon,High,11.500000000000004,19116.0
Faridpur,1948,10,31.7,23.8,481.0,79.0,0.862962963,3.7,6.906896552,23.61,89.84,9,1,Post-Monsoon,High,7.899999999999999,37999.0
Satkhira,1948,10,33.2,23.7,308.0,83.0,0.864814815,4.6,6.62,22.68,89.07,6,1,Post-Monsoon,High,9.500000000000004,25564.0
Comilla,1949,4,34.3,22.0,494.0,80.0,2.374074074,5.2,7.790909091,23.48,91.19,10,1,Pre-Monsoon,High,12.299999999999995,39520.0
Comilla,1949,5,34.4,24.3,665.0,85.0,2.285185185,4.8,6.587878788,23.48,91.19,10,1,Pre-Monsoon,Extreme,10.099999999999998,56525.0
Dinajpur,1949,5,34.3,22.5,450.0,80.0,1.027777778,4.8,6.848,25.63,88.66,37,1,Pre-Monsoon,High,11.799999999999995,36000.0
Faridpur,1949,5,33.5,23.6,417.0,84.0,2.016666667,5.3,7.020689655,23.61,89.84,9,1,Pre-Monsoon,High,9.9,35028.0
Satkhira,1949,5,37.0,25.4,368.0,82.0,1.925925926,5.2,7.856666667,22.68,89.07,6,1,Pre-Monsoon,High,11.6,30176.0
Barisal,1949,6,34.4,25.7,512.0,80.0,1.631481481,5.6,4.072340426,22.7,90.36,4,1,Monsoon,Extreme,8.7,40960.0
Chittagong (IAP-Patenga),1949,6,33.3,25.5,624.0,87.0,4.477777778,6.2,4.254716981,22.34,91.79,6,1,Monsoon,Extreme,7.799999999999997,54288.0
Comilla,1949,6,33.3,26.1,884.0,88.0,2.501851852,7.0,4.927272727,23.48,91.19,10,1,Monsoon,Extreme,7.199999999999996,77792.0
Cox's Bazar,1949,6,32.6,25.0,789.0,89.0,3.238888889,6.1,4.033962264,21.46,91.98,4,1,Monsoon,Extreme,7.600000000000001,70221.0
Dinajpur,1949,6,35.6,24.9,586.0,87.0,1.024074074,6.3,5.228,25.63,88.66,37,1,Monsoon,Extreme,10.700000000000005,50982.0
Faridpur,1949,6,34.4,25.4,482.0,88.0,1.833333333,7.1,5.0,23.61,89.84,9,1,Monsoon,High,9.0,42416.0
Satkhira,1949,6,36.9,25.2,384.0,88.0,1.701851852,5.6,4.386666667,22.68,89.07,6,1,Monsoon,High,11.7,33792.0
Srimangal,1949,6,34.5,24.4,639.0,91.0,0.914814815,7.0,4.346428571,24.29,91.73,23,1,Monsoon,Extreme,10.1,58149.0
Barisal,1949,7,33.4,25.8,575.0,85.0,1.57037037,5.4,3.738297872,22.7,90.36,4,1,Monsoon,Extreme,7.599999999999998,48875.0
Bogra,1949,7,32.0,26.1,363.71875,86.1875,1.577777778,6.1,4.435849057,24.88,89.36,20,1,Monsoon,High,5.899999999999999,31348.009765625
Chittagong (IAP-Patenga),1949,7,32.3,24.6,870.0,89.0,4.577777778,6.4,4.28490566,22.34,91.79,6,1,Monsoon,Extreme,7.699999999999996,77430.0
Comilla,1949,7,33.3,25.4,747.0,88.0,2.481481481,6.6,4.566666667,23.48,91.19,10,1,Monsoon,Extreme,7.899999999999999,65736.0
Cox's Bazar,1949,7,33.7,24.5,960.0,89.0,3.298148148,6.3,3.724528302,21.46,91.98,4,1,Monsoon,Extreme,9.200000000000005,85440.0
Dinajpur,1949,7,34.3,25.6,296.0,87.0,0.955555556,5.9,4.288,25.63,88.66,37,1,Monsoon,High,8.699999999999996,25752.0
Faridpur,1949,7,31.7,25.9,412.0,89.0,1.774074074,6.7,4.431034483,23.61,89.84,9,1,Monsoon,High,5.800000000000001,36668.0
Jessore,1949,7,35.0,25.7,343.0,87.0,2.955555556,5.1,3.972340426,23.17,89.22,7,1,Monsoon,High,9.3,29841.0
