Feature,Importance
Rainfall,0.1504580019990482
Month_Cos,0.12788970188762527
Relative_Humidity,0.11492442941866064
Cloud_Coverage,0.10568022143843775
Station_Dhaka,0.08775745899164246
Min_Temp,0.08174223579416177
Sl,0.06175994825594346
Bright_Sunshine,0.0609465785844727
Y_COR,0.03793947738903749
Station_Number,0.033120239103816826
LATITUDE,0.03154975993195021
Month,0.020152685980917705
ALT,0.014434491120376116
LONGITUDE,0.014311667143739267
X_COR,0.012354637354329739
Wind_Speed,0.010788176949271797
Max_Temp,0.010509781795462832
Year,0.009598180778919777
Month_Sin,0.006270479511432315
Station_Cox's Bazar,0.003352418764538314
Station_Dinajpur,0.0009661338220811061
Station_Barisal,0.0006745277224487653
Station_Maijdee Court,0.00045303899961866574
Station_Sylhet,0.00040601669866769134
Station_Chandpur,0.0003353661493038719
Station_Rajshahi,0.00027308554692949654
Station_Chittagong (IAP-Patenga),0.00021261012838324906
Station_Rangpur,0.00016770837644635724
Station_Bogra,0.00015149422349050674
Station_Sandwip,0.00013908445103306087
Station_Mymensingh,0.00013794259747763524
Station_Teknaf,9.555029436307958e-05
Station_Comilla,8.466048967108724e-05
Station_Hatiya,7.797579350427742e-05
Station_Bhola,5.3236530371481105e-05
Station_Jessore,4.988649150373418e-05
Station_Feni,4.749054111210135e-05
Station_Kutubdia,4.00282960188349e-05
Station_Faridpur,2.2121992861531428e-05
Station_Khepupara,1.7648401747614645e-05
Station_Chittagong (City-Ambagan),1.5254922173940207e-05
Station_Sitakunda,1.1008094541605939e-05
Station_Khulna,8.693594405843119e-06
Station_Patuakhali,6.57793200489662e-06
Station_Rangamati,4.577942447015377e-06
Station_Ishurdi,3.679464126280417e-06
Station_Srimangal,2.4280501926243703e-06
Station_Satkhira,1.6002592889053665e-06
Station_Mongla,0.0
Station_Madaripur,0.0
Station_Tangail,0.0
