Feature,Importance
numeric__District_Count,0.1074592456364823
numeric__Start_Year,0.1003021567437524
numeric__Year,0.09840724205387325
numeric__Duration(Days),0.08331826134839034
numeric__District_LGD_Codes,0.07555998303233255
numeric__Start_Day,0.06475510351346375
numeric__Day,0.06448477907876081
numeric__State_Codes,0.03910478899197899
numeric__Long_Event,0.030603456901259284
numeric__Start_Month,0.024247975320943704
numeric__Month,0.0237548380643584
categorical__Cause_Group_Other,0.022645059346678178
numeric__Month_Cos,0.022612246273228862
numeric__Month_Sin,0.020355582079952105
categorical__Cause_Group_Heavy Rain,0.014630323453042594
numeric__Quarter,0.011752095126448116
categorical__Main Cause_heavy rains,0.010953068826676994
categorical__State_Uttar Pradesh,0.007814528962389138
categorical__State_Maharashtra,0.007796469120460134
categorical__State_Karnataka,0.0072820245759065
categorical__Main Cause_heavy rains & floods,0.006439885762627777
categorical__State_Himachal Pradesh,0.005664092534139795
categorical__State_Bihar,0.005609991353820595
categorical__State_Kerala,0.005593169618504568
categorical__State_Assam,0.005583894015031919
categorical__Main Cause_severe,0.00552721936366919
categorical__State_West Bengal,0.005280334421859656
categorical__State_Andhra Pradesh,0.005099575174662826
categorical__State_Gujarat,0.004695812415835819
categorical__State_Jammu and Kashmir,0.0044496358265252245
categorical__State_Uttarakhand,0.00443941154968204
categorical__State_Rajasthan,0.004240147301347095
categorical__State_Madhya Pradesh,0.0040142902097547
categorical__Main Cause_severe flood,0.0038851521430723532
categorical__State_Odisha,0.0034849326479400584
categorical__Cause_Group_Flash Flood,0.003454060091018063
categorical__Cause_Group_Landslide,0.0034031032387784946
categorical__State_Punjab,0.00332281597299747
categorical__Cause_Group_River/Water System,0.0029043462522538198
categorical__State_Tamil Nadu,0.002865169814100365
categorical__Main Cause_flash flood,0.0028340095762018663
categorical__Main Cause_landslide,0.0026835190133946965
categorical__Main Cause_severe floods,0.002447313185933335
categorical__State_Delhi,0.0024282447122966687
categorical__State_Haryana,0.002427441132476774
categorical__State_Arunachal Pradesh,0.002406402001875383
categorical__State_Sikkim,0.0023061497452894096
"categorical__Main Cause_heavy rains & flood (brahmaputra,tributaries)",0.002278712982944844
categorical__State_Tripura,0.0019503627182024424
numeric__State_Count,0.0019144219989290323
categorical__Main Cause_flood,0.0014839344278538098
categorical__State_Jharkhand,0.0014606308551292982
categorical__Main Cause_heavy rains & floods (ganga & tributaries),0.0014542700173502004
categorical__Main Cause_moderate flood,0.001378193957066155
categorical__State_Meghalaya,0.0013520533393753496
categorical__Main Cause_heavy rains & flood,0.0012855733124194288
categorical__Main Cause_heavy rain,0.0012586179658878997
categorical__Main Cause_flash floods,0.001231340547335847
categorical__Main Cause_massive landslide,0.001229643591037603
categorical__State_Chhattisgarh,0.001205524212713619
categorical__State_Mizoram,0.0011995061971866198
"categorical__Main Cause_heavy rains,  floods & landslides",0.0010191080704276816
categorical__Main Cause_moderate floods,0.0010016199465370176
"categorical__Main Cause_heavy rains, floods & landslips",0.0009589796285674439
"categorical__State_Uttar Pradesh, Uttarakhand",0.000939638077784203
categorical__Main Cause_floods,0.0008552315212714477
categorical__Main Cause_cloud burst,0.0008397204655514599
categorical__State_Manipur,0.000832667370995563
categorical__State_Telangana,0.0007990237882057695
categorical__Main Cause_moderate,0.0007758638215576859
categorical__Main Cause_heavy rains & landslide,0.0007680222914194171
categorical__Main Cause_landslides,0.0006749168056710111
categorical__Main Cause_floods & heavy rains,0.000671328880897075
categorical__Main Cause_moderate to severe,0.0006238890669217651
"categorical__State_Madhya Pradesh,  Chhattisgarh",0.0005773198069247889
categorical__Main Cause_heavy rains(cloud burst),0.0004827154380578899
"categorical__Main Cause_heavy rains, severe",0.0004394072864787553
"categorical__Main Cause_flood (brahmaputra,tributaries)",0.0004154586115574847
categorical__Main Cause_flood (janji river),0.00037853854500885937
categorical__Main Cause_heavy rains(massive landslide),0.0003726221244945649
categorical__Main Cause_severe floods in rivulets,0.00030610893383056087
"categorical__Main Cause_severe flood (brahmaputra,its tributaries)",0.00030498561030478427
categorical__Main Cause_heavy rains/tank burnt,0.0002939736653912565
categorical__Main Cause_floods in pennar river,0.00029294950223847415
categorical__Main Cause_nandadevi glacier breaks off at joshimath,0.000284896389218884
"categorical__Main Cause_severe flood (brahmaputra,manas, pachnoi)",0.00027374100342127155
categorical__Main Cause_heavy rains / floods,0.000271113037891353
categorical__Main Cause_torrential rain,0.00025908722150061025
"categorical__Main Cause_wardha,its tributaries  in floods due to continuus heavy rains",0.00025459953757619574
"categorical__Main Cause_severe flood, heavy rains",0.0002468197608334306
"categorical__Main Cause_severe flood (brahmaputra,tributaries)",0.00023681191403557753
categorical__Main Cause_severe (flash flooding in bhima),0.0002318107404945134
"categorical__Main Cause_flood ( brahmaputra,tributaries)",0.0002283461410064012
categorical__Main Cause_heavy rains & massive landslide,0.0002238850241793902
categorical__Main Cause_heavy rains (cloud burst),0.00022342672075809802
categorical__Main Cause_heavy rains & heavy rains &,0.00022212907678020736
categorical__Main Cause_severe (flash flooding),0.0002220118363420731
"categorical__Main Cause_flood (brahmaputra,its tributories)",0.00022162781519920137
categorical__Main Cause_flash flood (brahmaputra & kaldiya),0.0002210222967010863
categorical__Main Cause_cloudburst,0.0002206065992569753
"categorical__Main Cause_severe flood (noona, tributaries of brahmaputra)",0.00022025806574378406
"categorical__Main Cause_heavy rains,floods",0.00021860776654088716
categorical__State_Dadra and Nagar Haveli,0.00021616255591818802
"categorical__Main Cause_brahmaputra,its tributaries in floods",0.0002111288119823311
"categorical__Main Cause_flood (dikchu, lachen, lachung, rangpo,singtam)",0.0002109468182345754
"categorical__Main Cause_moderate to severe, moderate",0.0002100263698936035
categorical__Main Cause_moderate(berna),0.0002077826074442055
"categorical__Main Cause_heavy rains/flood (brahmaputra,tributaries)",0.0002053416208207365
"categorical__Main Cause_heavy rains, floods (muvattupuzha & kabani river) & landslip",0.00020302885323403319
categorical__Main Cause_floods due to heavy rains in nepal,0.00019288014291569353
"categorical__Main Cause_heavy rains  & flood (brahmaputra,tributaries)",0.0001896322302888531
"categorical__Main Cause_heavy rain, landslides & floods",0.0001892665022173962
"categorical__Main Cause_flash flood (jiadhal,semen)",0.00018669331393277359
"categorical__Main Cause_heavy rains,flood",0.00018310914579682062
