Feature,Importance
numeric__District_Count,0.1074592456364823
numeric__Start_Year,0.1003021567437524
numeric__Year,0.0984072420538732
numeric__Duration(Days),0.0833182613483903
numeric__District_LGD_Codes,0.0755599830323325
numeric__Start_Day,0.0647551035134637
numeric__Day,0.0644847790787608
numeric__State_Codes,0.0391047889919789
numeric__Long_Event,0.0306034569012592
numeric__Start_Month,0.0242479753209437
numeric__Month,0.0237548380643584
categorical__Cause_Group_Other,0.0226450593466781
numeric__Month_Cos,0.0226122462732288
numeric__Month_Sin,0.0203555820799521
categorical__Cause_Group_Heavy Rain,0.0146303234530425
numeric__Quarter,0.0117520951264481
categorical__Main Cause_heavy rains,0.0109530688266769
categorical__State_Uttar Pradesh,0.0078145289623891
categorical__State_Maharashtra,0.0077964691204601
categorical__State_Karnataka,0.0072820245759065
categorical__Main Cause_heavy rains & floods,0.0064398857626277
categorical__State_Himachal Pradesh,0.0056640925341397
categorical__State_Bihar,0.0056099913538205
categorical__State_Kerala,0.0055931696185045
categorical__State_Assam,0.0055838940150319
categorical__Main Cause_severe,0.0055272193636691
categorical__State_West Bengal,0.0052803344218596
categorical__State_Andhra Pradesh,0.0050995751746628
categorical__State_Gujarat,0.0046958124158358
categorical__State_Jammu and Kashmir,0.0044496358265252
categorical__State_Uttarakhand,0.004439411549682
categorical__State_Rajasthan,0.004240147301347
categorical__State_Madhya Pradesh,0.0040142902097547
categorical__Main Cause_severe flood,0.0038851521430723
categorical__State_Odisha,0.00348493264794
categorical__Cause_Group_Flash Flood,0.003454060091018
categorical__Cause_Group_Landslide,0.0034031032387784
categorical__State_Punjab,0.0033228159729974
categorical__Cause_Group_River/Water System,0.0029043462522538
categorical__State_Tamil Nadu,0.0028651698141003
categorical__Main Cause_flash flood,0.0028340095762018
categorical__Main Cause_landslide,0.0026835190133946
categorical__Main Cause_severe floods,0.0024473131859333
categorical__State_Delhi,0.0024282447122966
categorical__State_Haryana,0.0024274411324767
categorical__State_Arunachal Pradesh,0.0024064020018753
categorical__State_Sikkim,0.0023061497452894
"categorical__Main Cause_heavy rains & flood (brahmaputra,tributaries)",0.0022787129829448
categorical__State_Tripura,0.0019503627182024
numeric__State_Count,0.001914421998929
categorical__Main Cause_flood,0.0014839344278538
categorical__State_Jharkhand,0.0014606308551292
categorical__Main Cause_heavy rains & floods (ganga & tributaries),0.0014542700173502
categorical__Main Cause_moderate flood,0.0013781939570661
categorical__State_Meghalaya,0.0013520533393753
categorical__Main Cause_heavy rains & flood,0.0012855733124194
categorical__Main Cause_heavy rain,0.0012586179658878
categorical__Main Cause_flash floods,0.0012313405473358
categorical__Main Cause_massive landslide,0.0012296435910376
categorical__State_Chhattisgarh,0.0012055242127136
categorical__State_Mizoram,0.0011995061971866
"categorical__Main Cause_heavy rains,  floods & landslides",0.0010191080704276
categorical__Main Cause_moderate floods,0.001001619946537
"categorical__Main Cause_heavy rains, floods & landslips",0.0009589796285674
"categorical__State_Uttar Pradesh, Uttarakhand",0.0009396380777842
categorical__Main Cause_floods,0.0008552315212714
categorical__Main Cause_cloud burst,0.0008397204655514
categorical__State_Manipur,0.0008326673709955
categorical__State_Telangana,0.0007990237882057
categorical__Main Cause_moderate,0.0007758638215576
categorical__Main Cause_heavy rains & landslide,0.0007680222914194
categorical__Main Cause_landslides,0.000674916805671
categorical__Main Cause_floods & heavy rains,0.000671328880897
categorical__Main Cause_moderate to severe,0.0006238890669217
"categorical__State_Madhya Pradesh,  Chhattisgarh",0.0005773198069247
categorical__Main Cause_heavy rains(cloud burst),0.0004827154380578
"categorical__Main Cause_heavy rains, severe",0.0004394072864787
"categorical__Main Cause_flood (brahmaputra,tributaries)",0.0004154586115574
categorical__Main Cause_flood (janji river),0.0003785385450088
categorical__Main Cause_heavy rains(massive landslide),0.0003726221244945
categorical__Main Cause_severe floods in rivulets,0.0003061089338305
"categorical__Main Cause_severe flood (brahmaputra,its tributaries)",0.0003049856103047
categorical__Main Cause_heavy rains/tank burnt,0.0002939736653912
categorical__Main Cause_floods in pennar river,0.0002929495022384
categorical__Main Cause_nandadevi glacier breaks off at joshimath,0.0002848963892188
"categorical__Main Cause_severe flood (brahmaputra,manas, pachnoi)",0.0002737410034212
categorical__Main Cause_heavy rains / floods,0.0002711130378913
categorical__Main Cause_torrential rain,0.0002590872215006
"categorical__Main Cause_wardha,its tributaries  in floods due to continuus heavy rains",0.0002545995375761
"categorical__Main Cause_severe flood, heavy rains",0.0002468197608334
"categorical__Main Cause_severe flood (brahmaputra,tributaries)",0.0002368119140355
categorical__Main Cause_severe (flash flooding in bhima),0.0002318107404945
"categorical__Main Cause_flood ( brahmaputra,tributaries)",0.0002283461410064
categorical__Main Cause_heavy rains & massive landslide,0.0002238850241793
categorical__Main Cause_heavy rains (cloud burst),0.000223426720758
categorical__Main Cause_heavy rains & heavy rains &,0.0002221290767802
categorical__Main Cause_severe (flash flooding),0.000222011836342
"categorical__Main Cause_flood (brahmaputra,its tributories)",0.0002216278151992
categorical__Main Cause_flash flood (brahmaputra & kaldiya),0.000221022296701
categorical__Main Cause_cloudburst,0.0002206065992569
"categorical__Main Cause_severe flood (noona, tributaries of brahmaputra)",0.0002202580657437
"categorical__Main Cause_heavy rains,floods",0.0002186077665408
categorical__State_Dadra and Nagar Haveli,0.0002161625559181
"categorical__Main Cause_brahmaputra,its tributaries in floods",0.0002111288119823
"categorical__Main Cause_flood (dikchu, lachen, lachung, rangpo,singtam)",0.0002109468182345
"categorical__Main Cause_moderate to severe, moderate",0.0002100263698936
categorical__Main Cause_moderate(berna),0.0002077826074442
"categorical__Main Cause_heavy rains/flood (brahmaputra,tributaries)",0.0002053416208207
"categorical__Main Cause_heavy rains, floods (muvattupuzha & kabani river) & landslip",0.000203028853234
categorical__Main Cause_floods due to heavy rains in nepal,0.0001928801429156
"categorical__Main Cause_heavy rains  & flood (brahmaputra,tributaries)",0.0001896322302888
"categorical__Main Cause_heavy rain, landslides & floods",0.0001892665022173
"categorical__Main Cause_flash flood (jiadhal,semen)",0.0001866933139327
"categorical__Main Cause_heavy rains,flood",0.0001831091457968
"categorical__Main Cause_moderate flood (brahmani,baitarani)",0.0001797927187415
categorical__Main Cause_floods in ganga & tributaries,0.0001778918546633
