Feature,Importance
numeric__District_Count,0.10494939206253713
numeric__Duration(Days),0.09144008373530901
numeric__Start_Year,0.07712833076554182
numeric__Year,0.07613545924120341
numeric__Start_Day,0.07433229583593644
numeric__Day,0.07427160248123112
numeric__District_LGD_Codes,0.06888079836563192
numeric__State_Codes,0.04719386474578976
numeric__Long_Event,0.02975671019662174
numeric__Month,0.026422913263950926
numeric__Start_Month,0.02572526268550166
numeric__Month_Cos,0.024202762638548883
categorical__Cause_Group_Heavy Rain,0.02330181768025662
numeric__Month_Sin,0.0226316539876462
categorical__Main Cause_heavy rains,0.019789035240418817
categorical__Cause_Group_Other,0.017340317384840053
numeric__Quarter,0.012610684048948705
categorical__State_Maharashtra,0.009511062520525082
categorical__State_Karnataka,0.009329186202720736
categorical__State_Uttar Pradesh,0.007483339897184497
categorical__State_West Bengal,0.00693714774111294
categorical__Main Cause_severe,0.006569149572186445
categorical__State_Gujarat,0.0065034964002306855
categorical__State_Kerala,0.006416550187783338
categorical__State_Assam,0.00562677581880445
categorical__State_Uttarakhand,0.005209644236275137
categorical__Main Cause_severe flood,0.005162645192152938
categorical__State_Madhya Pradesh,0.005134332370859695
categorical__State_Rajasthan,0.0049441962676931754
categorical__State_Bihar,0.004717014692458895
categorical__State_Himachal Pradesh,0.004544419576019323
categorical__State_Andhra Pradesh,0.00448091092630921
categorical__State_Jammu and Kashmir,0.0043679156576972794
categorical__State_Punjab,0.004304422817716321
categorical__State_Odisha,0.004210313090503111
categorical__Cause_Group_Flash Flood,0.0041081573220132315
categorical__State_Tamil Nadu,0.004105882839393759
categorical__Main Cause_severe floods,0.003620659958886092
categorical__State_Haryana,0.0035210721693690722
categorical__Main Cause_flash flood,0.003454499462247976
categorical__State_Delhi,0.0033302653261475614
categorical__State_Arunachal Pradesh,0.0032224988059606644
categorical__State_Tripura,0.0024162214362155746
categorical__Main Cause_moderate flood,0.0022328907041546968
categorical__State_Jharkhand,0.0021550606127811113
categorical__Main Cause_moderate floods,0.0020815893093322985
categorical__State_Meghalaya,0.0018089289101133343
categorical__Cause_Group_River/Water System,0.0017965013186460193
categorical__Main Cause_flash floods,0.0016942981872986442
categorical__State_Sikkim,0.0016820707661515649
numeric__State_Count,0.0016714089594418462
