Threshold,Accuracy,Precision,Recall,F1_Score,True_Negatives,False_Positives,False_Negatives,True_Positives,ROC_AUC,Average_Precision
0.1,0.19435928877988964,0.13609467455621302,1.0,0.23958333333333334,110,1314,0,207,0.8070550398957824,0.46527724923613145
0.15,0.2918454935622318,0.14940828402366865,0.9758454106280193,0.2591404746632457,274,1150,5,202,0.8070550398957824,0.46527724923613145
0.2,0.4702636419374617,0.1801363193768257,0.893719806763285,0.29983792544570503,582,842,22,185,0.8070550398957824,0.46527724923613145
0.25,0.6057633353770693,0.2190721649484536,0.821256038647343,0.34587995930824006,818,606,37,170,0.8070550398957824,0.46527724923613145
0.3,0.7069282648681791,0.27378964941569284,0.7922705314009661,0.40694789081885857,989,435,43,164,0.8070550398957824,0.46527724923613145
0.35,0.7952176578786021,0.3375959079283887,0.6376811594202898,0.4414715719063545,1165,259,75,132,0.8070550398957824,0.46527724923613145
0.4,0.8522378908645003,0.42916666666666664,0.4975845410628019,0.4608501118568233,1287,137,104,103,0.8070550398957824,0.46527724923613145
0.45,0.8761496014714899,0.5179856115107914,0.34782608695652173,0.4161849710982659,1357,67,135,72,0.8070550398957824,0.46527724923613145
0.5,0.8896382587369712,0.651685393258427,0.28019323671497587,0.3918918918918919,1393,31,149,58,0.8070550398957824,0.46527724923613145
0.55,0.8865726548129982,0.7037037037037037,0.18357487922705315,0.29118773946360155,1408,16,169,38,0.8070550398957824,0.46527724923613145
0.6,0.8835070508890251,0.7428571428571429,0.12560386473429952,0.21487603305785125,1415,9,181,26,0.8070550398957824,0.46527724923613145
0.65,0.8786020846106684,0.8,0.057971014492753624,0.10810810810810811,1421,3,195,12,0.8070550398957824,0.46527724923613145
0.7,0.8792152053954629,0.9166666666666666,0.05314009661835749,0.1004566210045662,1423,1,196,11,0.8070550398957824,0.46527724923613145
0.75,0.8761496014714899,1.0,0.024154589371980676,0.04716981132075472,1424,0,202,5,0.8070550398957824,0.46527724923613145
0.8,0.8736971183323115,1.0,0.004830917874396135,0.009615384615384616,1424,0,206,1,0.8070550398957824,0.46527724923613145
0.85,0.8730839975475169,0.0,0.0,0.0,1424,0,207,0,0.8070550398957824,0.46527724923613145
0.9,0.8730839975475169,0.0,0.0,0.0,1424,0,207,0,0.8070550398957824,0.46527724923613145
